FlightDate,avg(DepDelayMinutes),avg(CarrierDelay),avg(WeatherDelay),avg(NASDelay),avg(SecurityDelay),avg(LateAircraftDelay)
2013-01-01,13.2249802994484,4.47754137115839,0.130877331231941,2.27226162332545,0.00794588915156291,4.53014184397163
2013-01-02,12.2812620876388,4.06857490191744,0.077747692987788,1.85539039619826,0.0302812620876388,4.28297507874233
2013-01-03,11.6184818110148,3.53874310170064,0.2878139430116,1.76410631827909,0.067124676202275,4.10203851785111
2013-01-04,8.00090507976015,2.67377531394954,0.056341215069578,0.793924652109967,0.0110306595768752,2.32582871365539
2013-01-05,9.39010241352145,3.28081357874382,0.187280670343049,1.22781637183986,0.0189071116522237,2.63023705507412
2013-01-06,9.09714111922141,3.03813868613139,0.108150851581509,1.25237226277372,0.0130170316301703,2.87810218978102
2013-01-07,6.50362152218901,2.25845021844102,0.041446309496436,0.778454817199356,0.0119567716716487,1.60071280754196
2013-01-08,7.35759242285365,2.2664222425909,0.416926367247174,1.49459211732356,0.00782157042468683,2.31549037580202
2013-01-09,6.8671082468075,2.23111349803079,0.130445160520348,1.62334407447189,0.00960735171261487,2.22138680033417
2013-01-10,7.0399128340406,2.34080743204496,0.352964789540085,1.29447184310127,0.0210459915127882,2.12495699048056
2013-01-11,9.17360196897716,2.66475874305993,0.394425047221109,2.26163356419209,0.0126495335126782,3.74185793600824
2013-01-12,7.90618912033568,2.61868724711524,0.28840101903192,1.4191518057845,0.00936610220290724,2.34017683200959
2013-01-13,13.0899001798004,3.6490792981586,0.464566929133858,3.75361150722301,0.00663401326802654,4.57250914501829
2013-01-14,9.49858061525983,2.98476333931985,0.154046694861248,1.94339841260645,0.00411331904292915,3.43549041191124
2013-01-15,6.12058913777232,2.01718318502608,0.350414237496164,1.71561828781835,0.00662779993863148,1.6008591592513
2013-01-16,12.2872690306763,3.87328828559469,0.386234527297734,3.49207678048197,0.00562100101656401,4.37427495066675
2013-01-17,7.75433758474089,2.50654946570148,0.0967482477306676,1.33212685280938,0.00293002412961048,2.4398483281627
2013-01-18,7.82789283460501,2.35138546268143,0.133842005622167,1.03006138488899,0.0045321553554013,2.58378750501979
2013-01-19,5.16068453733152,1.83780099954566,0.0539906103286385,0.59957595032561,0.00651219142813872,1.30175677722247
2013-01-20,10.9483993952541,2.97245776638401,0.332544534279892,1.71221981200289,0.000920265562347992,4.51876684414645
2013-01-21,9.8289627721845,3.71827440880356,0.195036291266682,1.34681573402014,0.00673144462655116,3.27792086162491
2013-01-22,8.39282423050931,2.84751489832279,0.193278859740738,1.72967991644652,0.0119800946120292,2.37912391718376
2013-01-23,8.81392147474264,2.57954273401963,0.556021067751975,2.02046923629399,0.0108929853962174,3.26843428297821
2013-01-24,13.2494972131242,3.63678676090329,0.91449750043096,2.76136298339367,0.0072401310118945,5.14870999253002
2013-01-25,15.6306844281121,3.91370004593477,1.38079926504364,4.93207395498392,0.0107946715663757,6.98306155259531
2013-01-26,8.97385079125848,3.08613413715147,0.600150715900527,1.44431047475509,0.00761115297663904,2.86759608138659
2013-01-27,12.1563916309679,3.45185323151425,1.50332153721984,3.33941764450239,0.00757434655739741,4.40367542062457
2013-01-28,11.3064160575473,3.07599489499942,0.648393085044669,3.04188420930502,0.0051050005801137,4.13731291333101
2013-01-29,11.7571384709856,2.64967761743936,1.26914338348173,3.85035308566165,0.0189131102241326,4.47147681915873
2013-01-30,20.9320126877731,4.30187324196541,1.84050511700281,7.7036327727572,0.00909689388952062,8.98563648333234
2013-01-31,13.9057405281286,3.98685419058553,0.600516647531573,3.45522388059702,0.0214121699196326,5.41762342135476
