FlightDate,count(*)
2013-01-01,15228
2013-01-02,18097
2013-01-03,17758
2013-01-04,17678
2013-01-05,13963
2013-01-06,16440
2013-01-07,17396
2013-01-08,16365
2013-01-09,16758
2013-01-10,17438
2013-01-11,17471
2013-01-12,13346
2013-01-13,16129
2013-01-14,17261
2013-01-15,16295
2013-01-16,16723
2013-01-17,17406
2013-01-18,17431
2013-01-19,13206
2013-01-20,15213
2013-01-21,17084
2013-01-22,16277
2013-01-23,16708
2013-01-24,17403
2013-01-25,17416
2013-01-26,13270
2013-01-27,16107
2013-01-28,17238
2013-01-29,16285
2013-01-30,16709
2013-01-31,17420
