UniqueCarrier,avg(CarrierDelay),avg(WeatherDelay),avg(NASDelay),avg(SecurityDelay),avg(LateAircraftDelay),a
VX,0.72080378250591,0.366193853427896,1.33971631205674,0.008274231678487,0.830023640661939,3.26501182033097
HA,3.53594115680374,0.0640254095620194,0.0229020394516884,0.0130391173520562,0.847375459712471,4.48328318288198
FL,1.04257820152811,0.0403578658656044,1.73349441650885,0.0,2.03748449030236,4.85391497420492
AS,1.94717138103161,0.23153078202995,1.72762063227953,0.0136439267886855,1.5936772046589,5.51364392678868
WN,1.89496349628234,0.201953593737734,1.05934797967904,0.019547152037143,2.67072637351546,5.84653859525171
DL,2.73988318002168,0.564058619845406,1.87574761288517,0.00421461299010178,1.68838095904306,6.87228498478542
US,2.36616319599607,0.199571007239253,2.7695653469181,0.0267226740548753,1.85348705573927,7.21550927994757
UA,2.73435760409708,0.330265469210025,2.46913580246914,0.00682847175833148,2.82584922932284,8.36643657685742
AA,3.2771361041741,0.513913663931502,2.1073403496254,0.0249286478772743,3.58865501248662,9.5119737780949
OO,2.82554769908427,0.435976198755844,2.29098566515977,0.0142189250801746,4.98212974769136,10.5488582357714
YV,2.82286089978398,0.476002629848784,1.69625246548323,0.00479008171315864,5.68319714473561,10.6831032215648
B6,4.37473433207195,0.149136903219118,2.81711679021305,0.0174174485511378,4.13306723342491,11.4914727074802
9E,5.03571730492857,0.611421083777158,2.42226730915547,0.0111167469777665,3.90354214219292,11.9840645870319
F9,3.66195727084769,0.11802205375603,4.38111647139903,0.0,4.52549965541006,12.6865954514128
MQ,3.80633008781471,1.76733080412809,3.19348420131059,0.00180404849706842,4.75982277876529,13.5287719205157
EV,5.06914765077502,0.390685952980978,3.67181620464667,0.00514378430627956,7.21307004522388,16.3498636379328
